Funds,"Factsheet / Offering Material 
(via Fundinfo)","Fund Specific Materials 
(via Intranet) ",Fund Watch List,Base Ccy,Last Bloomberg Update,1 Mth Return (%),3 Mths Return (%),YTD Return (%),1 Yr Return (%),3 Yr Ann Return (%),5 Yr Ann Return (%),"3 Yr Ann Std Dev 
(%)",Inception Date,ISIN (base ccy),BB Ticker (base ccy),Other share classes available,Use of Derivatives (as a principal driver),Is this a High Yield Bond Fund (Yes/No),Risk Rating ,AR*,SG MAS Registered,SG Restricted,HK SFC Authorization,UK Registered,Offering In DIFC Allowed?*,UCITS,"Fund House Max Sales Charge
BOS Fee Schedule applies - Min USD375 Max up to 2% upfront fee",Investment Objective,Investment Tenor,Investment Time Horizon,"Dealing Frequency (Subscription)

Refer to Funds Identifier tab for Notice Period","Dealing Frequency (Redemption)

Refer to Funds Identifier tab for Notice Period",Loss Absorption Product,Complex Product,Remarks,
BlueBay Em Mkt Local Currency Bond R USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0240767763,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Bluebay/Bluebay%20Emerging%20Market%20Local%20Currency%20Bond%20Fund,Yes,USD,10/9/19,0.78,-1.92,6.71,9.43,-0.18,-2.22,10.83,3/7/06,LU0240767763,BLEMLCU LX EQUITY,"USD Acc , USD Dis (Ann) , EUR Acc  (H) , EUR Dis (Ann)(H) , SGD Acc  (H) , SGD Dis  (Mth) (H)",No,No,3,70%,Yes,Restricted,SFC Unauthorized,Yes,Yes,Yes,5.00%,Income Generation,N/A,> 5 years,Daily,Daily,No,No,, 
Pictet - Emerging Local Currency Debt-P USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0255798109,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Pictet/Emerging%20Local%20Currency%20Debt,Yes,USD,10/9/19,0.53,-1.14,6.91,9.62,1.35,-1.2,10.11,6/26/2006,LU0255798109,PFEMGDP LX EQUITY,"USD Acc , USD Dis  (Mth) , USD Dis (Ann) , EUR Acc , EUR Acc  (H) , EUR Dis  (Mth) , GBP Dis (Ann)",No,No,3,55%,Yes,Restricted,SFC Authorized,Yes,Yes,Yes,5.00%,Income Generation,N/A,> 5 years,Daily,Daily,No,No,, 
Fixed Income - Global EMD Hard Currency Bonds (Sovereign / Quasi-Sovereign),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
"BlueBay Emerging Market Bond R USD
(HY Bond Fund, restrictions apply)#",https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0206733890,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Bluebay/Bluebay%20Emerging%20Market%20Bond%20Fund,No,USD,10/9/19,-0.37,0.78,11.33,10.99,3.39,3.95,5.9,11/16/2004,LU0206733890,BBEMBAR LX EQUITY,"USD Acc , USD Dis (Ann) , EUR Acc  (H) , EUR Dis (Ann)(H) , SGD Acc  (H) , SGD Dis  (Mth) (H)",No,Yes,4,65%,Yes,Restricted,SFC Unauthorized,Yes,Yes,Yes,5.00%,Income Generation,N/A,> 5 years,Daily,Daily,No,No,, 
"Pictet - Global Emerging Debt-P USD
(HY Bond Fund, restrictions apply)#",https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0128467544,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Pictet/Global%20Emerging%20Debt,No,USD,10/9/19,-0.19,1.19,12.14,11.61,2.9,4.05,6.27,4/13/1999,LU0128467544,PFIFGEA LX EQUITY,"USD Acc , USD Dis  (Mth) , USD Dis (Ann) , EUR Acc  (H) , EUR Dis (Ann)(H) , CHF Acc  (H) , AUD Dis  (Mth) (H) , HKD Dis  (Mth) ",No,Yes,4,55%,Yes,Restricted,SFC Authorized,Yes,Yes,Yes,5.00%,Income Generation,N/A,> 5 years,Daily,Daily,No,No,, 
Fixed Income - Global Emerging Market Corporates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
"Lion-Bank of Singapore Emerging Mkt Bd USD Acc
(HY Bond Fund, restrictions apply)#",https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=SG9999012819,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Lion/Lion-BOS%20EM%20Bond%20Fund,No,USD,10/9/19,0.73,0.81,9.94,10.13,3.95,N/A,3.55,2/16/2015,SG9999012819,LCBEMUA SP EQUITY,"USD Acc , USD Dis  (Qter) , USD Dis  (Qter) , AUD Dis  (Qter) (H) , AUD Dis  (Qter) (H) , SGD Dis  (Qter) (H) , SGD Dis  (Qter) (H)",No,Yes,4,75%,Yes,Restricted,SFC Unauthorized,No,Yes,No,5.00%,Income Generation,N/A,> 5 years,Daily,Daily,No,Yes,, 
BlueBay Em Mkt Corporate Bond R USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0356217504,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Bluebay/Bluebay%20Emerging%20Market%20Corporate%20Bond%20Fund,No,USD,10/9/19,0.35,0.52,8.88,8.62,3.44,3.08,4.14,3/31/2008,LU0356217504,BBEMABR LX EQUITY,"USD Acc , USD Dis (Ann) , USD Dis (Ann) , EUR Acc  (H) , EUR Dis (Ann)(H) , SGD Acc  (H) , SGD Dis  (Mth) (H) , SGD Dis  (Mth) (H)",No,No,4,55%,Yes,Restricted,SFC Unauthorized,Yes,Yes,Yes,5.00%,Income Generation,N/A,> 5 years,Daily,Daily,No,No,, 
"BlueBay Em Mkt High Yield Corp Bond R USD
(HY Bond Fund, restrictions apply)#",https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0720472579,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Bluebay/Bluebay%20Emerging%20Market%20High%20Yield%20Corporate%20Bond%20Fund,No,USD,10/9/19,0.84,-0.11,8.21,6.71,3.32,2.95,5.77,3/20/2012,LU0720472579,BEMHCRU LX EQUITY,"USD Acc , USD Dis (Ann) , EUR Acc  (H) , EUR Dis (Ann)(H) , SGD Acc  (H) , SGD Dis  (Mth) (H)",No,Yes,5,50%,Yes,Restricted,SFC Unauthorized,Yes,Yes,Yes,5.00%,Income Generation,N/A,> 5 years,Daily,Daily,No,No,, 
Fixed Income - Asian Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
BGF Asian Tiger Bond A2 USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0063729296,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Blackrock/BGF%20Asian%20Tiger%20Bond%20Fund,No,USD,10/10/19,0.42,1.66,10.5,11.63,3.48,4.2,3.62,2/2/96,LU0063729296,MERATAA LX EQUITY,"USD Acc , USD Dis  (Mth) , EUR Acc  (H) , EUR Dis  (Mth) (H) , AUD Dis  (Mth) (H) , CAD Dis  (Mth) (H) , CNH Dis  (Mth) (H) , GBP Dis  (Mth) (H) , HKD Dis  (Mth) (H) , NZD Dis  (Mth) (H) , SGD Acc  (H) , SGD Dis  (Mth) (H) , ZAR Dis  (Mth) (H)",No,No,3,70%,Yes,"Retail
(Recognized)",SFC Authorized,Yes,Yes,Yes,5.00%,Income Generation,N/A,> 5 years,Daily,Daily,No,No,, 
Fixed Income - Asian Local Currency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Templeton Asian Bond A (acc) USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0229949994,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Templeton/FTIF-Templeton%20Asian%20Bond%20Fund,Yes,USD,10/10/19,0.17,-2.48,-0.17,3.74,1.89,-0.98,4.89,10/25/2005,LU0229949994,TEMASAA LX EQUITY,"USD Acc , USD Dis  (Mth) , USD Dis  (Mth) , EUR Dis  (Mth) , EUR Acc , EUR Acc  (H) , SGD Dis  (Mth) , SGD Dis  (Mth) (H) , SGD Dis  (Mth) (H) , CHF Acc  (H) , AUD Dis  (Mth) (H)",Yes,No,4,70%,Yes,"Retail
(Recognized)",SFC Authorized,Yes,Yes,Yes,5.00%,Income Generation,N/A,> 5 years,Daily,Daily,No,Yes,, 
Fixed Income - Asian High Yield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
"Fidelity Funds - Asian Hi Yield A-ACC-USD
(HY Bond Fund, restrictions apply)#
(closed for subscription)",https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0286668453,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Fidelity/Fidelity%20Asian%20High%20Yield%20Fund,No,USD,10/10/19,0.22,-0.97,9.56,7.44,3.72,5.04,4.51,3/30/2007,LU0286668453,FFASIAU LX EQUITY,"USD Acc , USD Dis  (Mth) , USD Dis  (Mth) , EUR Acc , EUR Dis (Ann)(H) , SGD Dis  (Mth) (H) , CNH Dis  (Qter) (H) , AUD Dis  (Mth) (H)",No,Yes,5,55%,Yes,"Retail
(Recognized)",SFC Authorized,No,Yes,Yes,5.25%,Income Generation,N/A,> 5 years,"Daily, but subject to quota availability, please check before placing orders.",Daily,No,No,, 
Fixed Income - China High Yield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
"Income Partners Managed Volatility High Yield Bond Fund
(HY Bond Fund, restrictions apply)#",https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=HK0000421435,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Income%20Partners/IP%20Managed%20Volatility%20High%20Yield%20Bond%20Fund,No,CNH,10/9/19,-0.19,-1.67,7.64,6.86,5.16,6.21,4.18,7/27/2011,HK0000421435,IRHY2BA HK EQUITY,"CNH Dis  (Mth), USD Acc , USD Dis  (Mth) , USD Dis  (Mth),  USD Acc (H),  USD Dis (Mth) (H), SGD Acc , HKD Acc, HKD Dis (Ann), SGD Acc, SGD Dis  (Mth), SGD Acc (H), SGD Dis  (Mth) (H)",No,Yes,5,50%,Yes,Restricted,SFC Authorized,No,Yes,No,5.00%,Income Generation,N/A,> 5 years,Daily,Daily,No,No,, 
Fixed Income - Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
LionGlobal Singapore Fixed Income Investment A,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=SG9999003263,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Lion/LionGlobal%20Singapore%20Fixed%20Income%20Investments,No,SGD,10/9/19,0.69,2.33,4.52,7.92,2.89,3.22,2.82,4/5/01,SG9999003263,OCBSFIA SP EQUITY,SGD Acc,No,No,2,80%,Yes,"Retail
(Authorized)",SFC Unauthorized,No,Yes,No,5.00%,Income Generation,N/A,> 5 years,Daily,Daily,No,Yes,, 
LionGlobal Short Duration Bond A SGD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=SG9999002646,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Lion/LionGlobal%20Short%20Duration%20Bond%20Fund,No,SGD,10/9/19,0.41,1.02,4.67,5.08,2.46,2.82,1.07,3/19/1991,SG9999002646,OCBSGBF SP EQUITY,"SGD Dis  (Qter) , SGD Acc , USD Dis  (Qter) (H) , USD Acc  (H)",No,No,2,85%,Yes,"Retail
(Authorized)",SFC Unauthorized,No,Yes,No,5.00%,Income Generation,N/A,> 5 years,Daily,Daily,No,Yes,, 
"Fullerton SGD Income A
(subject to quota availability, please check before placing orders)",https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=SG9999008411,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Fullerton/Fullerton%20SGD%20Income,No,SGD,10/9/19,0.83,1.76,9.23,9.08,3.8,4.28,2.46,1/5/12,SG9999008411,FULSGIA SP EQUITY,"SGD Dis  (Qter) , SGD Dis  (Qter) , SGD Dis  (Qter) , USD Dis  (Qter) (H)",No,No,2,80%,Yes,"Retail
(Authorized)",SFC Unauthorized,No,Yes,No,3.00%,Income Generation,N/A,> 5 years,"Daily, but subject to quota availability, please check before placing orders.",Daily,No,Yes,, 
Fullerton Short Term Interest Rate C,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=SG9999006225,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Fullerton/Fullerton%20Short%20Term%20Interest%20Rate%20Fund,No,SGD,10/9/19,0.37,1,3.65,4.32,2.35,2.52,0.82,9/25/2009,SG9999006225,FULSTIC SP EQUITY,"SGD Acc , USD Acc  (H)",No,No,2,80%,Yes,"Retail
(Authorized)",SFC Unauthorized,No,Yes,No,5.00%,Income Generation,N/A,> 5 years,Daily,Daily,No,Yes,, 
United SGD Fund-Class A SGD Acc,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=SG9999001382,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/UOB/United%20SGD%20Fund,No,SGD,10/9/19,0.26,0.47,3.24,3.24,1.75,2.3,1.11,5/18/1998,SG9999001382,OUBGPCI SP EQUITY,"SGD Acc , SGD Dis  (Qter) , USD Acc  (H) , USD Dis  (Qter) (H)",No,No,2,80%,Yes,"Retail
(Authorized)",SFC Unauthorized,No,Yes,No,3.00%,Income Generation,N/A,> 5 years,Daily,Daily,No,Yes,, 
Fixed Income - India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Kotak Bond Feeder Fund Series D,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=MU0381S00022,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Kotak/Kotak%20Bond%20Feeder%20Fund%20Series%20D,No,USD,10/9/19,0.88,-2.92,7.02,17.69,3.4,4.93,8.51,1/29/2013,MU0381S00022,KBNDSRD MP EQUITY,USD Acc  ,No,No,3,70%,Yes,Restricted,SFC Unauthorized,No,"Yes, if Suitable",No,5.00%,Income Generation,N/A,> 5 years,Daily,Daily,No,Yes,, 
RMB Bonds - Offshore Bonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Schroder RMB Fixed Income Fund - CNH C Acc,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=HK0000069135,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Schroder/RMB%20Fixed%20Income%20Fund,Yes,CNY,10/9/19,0.14,0.66,3.94,5.52,3.33,3.35,1.43,11/5/10,HK0000069135,SCHRFIC HK Equity,"USD Acc , USD Dis  (Mth) , CNH Acc  ",No,No,3,70%,Yes,Restricted,SFC Unauthorized,No,Yes,No,2.00%,Income Generation,N/A,> 5 years,Daily,Daily,No,Yes,, 
BGF China Bond A2 CNH,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0679940949,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Blackrock/BGF%20China%20Bond%20Fund,No,CNH,10/10/19,0.41,0.9,7.08,7.9,5.66,5.62,2.27,11/11/11,LU0679940949,BGRBA2C LX Equity,"USD Acc , USD - A3 Dis  (Mth) , CHF Acc , CNH Acc , CNH - A3 Dis  (Mth) , HKD - A3 Dis  (Mth) ",No,No,3,40%,Yes,Restricted,SFC Unauthorized,Yes,Yes,Yes,5.00%,Income Generation,N/A,> 5 years,Daily,Daily,No,No,, 
Capital Securities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
"PIMCO GIS Capital Securities E Acc USD
(HY Bond Fund, restrictions apply)#",https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=IE00BFRSV866,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/PIMCO/Capital%20Securities%20Fund,No,USD,10/10/19,0.66,1.79,11.96,9.54,5.96,5.04,4.76,10/28/2013,IE00BFRSV866,PIMEAUS ID EQUITY,"USD Acc , USD Dis  (Qter) , USD Dis  (Mth) , EUR Acc  (H) , EUR Dis  (Qter) (H) , CHF Acc  (H) , SGD Dis  (Mth) (H)",Yes,Yes,5,60%,Yes,Restricted,SFC Unauthorized,Yes,Yes,Yes,5.00%,Income Generation,N/A,> 5 years,Daily,Daily,Yes,Yes,, 
Mixed Asset / Asset Allocation - Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
BGF Dynamic High Income Fund,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU1564329032,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Blackrock/BGF%20Dynamic%20High%20Income%20Fund,No,USD,10/10/19,-0.47,-0.66,14.49,6.54,N/A,N/A,N/A,2/6/18,LU1564329032,BGDHA2U LX EQUITY,"USD Acc , USD Dis  (Mth) , SGD Acc  (H) , SGD Dis  (Mth) (H) , AUD Dis  (Mth) (H) , HKD Dis  (Mth) (H) , EUR Dis  (Mth) (H) , GBP Dis  (Mth) (H) , CNH Dis  (Mth) (H)",No,No,4,60%,Yes,"Retail
(Recognized)",SFC Authorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,, 
BGF Global Allocation A2 USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0072462426,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Blackrock/BGF%20Global%20Allocation%20Fund,No,USD,10/10/19,-0.52,-0.85,10.08,4.62,4.32,3.12,6.81,1/3/97,LU0072462426,MERGAAI LX EQUITY,"USD Acc , USD Dis (Ann) , EUR Dis (Ann)(H) , EUR Dis (Ann) , EUR Acc , EUR Acc  (H) , AUD Acc  (H) , CHF Acc  (H) , GBP Acc  (H) , PLN Acc  (H) , HUF Acc , SGD Acc  (H)
",No,No,3,60%,Yes,"Retail
(Recognized)",SFC Authorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,, 
BGF Global Multi-Asset Income A2 USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0784385840,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Blackrock/BGF%20Global%20Multi-Asset%20Income%20Fund,No,USD,10/10/19,-0.14,0.36,10.28,6.81,4.66,3.54,4.04,6/28/2012,LU0784385840,BGMAIA2 LX EQUITY,"USD Acc , USD Dis  (Mth) , SGD Dis  (Qter) (H) , SGD Dis  (Mth) (H) , NZD Dis  (Mth) (H) , HKD Dis  (Mth) (H) , GBP Dis  (Mth) (H) , EUR Acc , EUR Acc  (H) , EUR Dis (Ann)(H) , EUR Dis  (Mth) (H) , CAD Dis  (Mth) (H) , AUD Dis  (Qter) (H) , AUD Dis  (Mth) (H)",No,No,3,70%,Yes,"Retail
(Recognized)",SFC Authorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,, 
"BOS International (""BOSI Fund"") - Defensive
(May only be offered to clients who are resident in Singapore, Hong Kong and United Arab Emirates. No further subscription from existing BOSI investors or new investors who are not resident in Singapore, Hong Kong and United Arab Emirates. 
No marketing activities from Luxembourg and no marketing to EEA Resident clients and no further subscription from existing BOSI investors or new investors who are EEA Resident clients.)",http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing Materials/Forms/AllItems.aspx,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/BOS%20International%20Fund,No,USD,10/9/19,0.02,1.01,9.02,8.03,N/A,N/A,N/A,8/31/2018,LU1832431875,BOIDRCU LX EQUITY,"USD Acc , USD Dis  (Qter) , SGD Acc  (H) , SGD Dis  (Qter) (H) , AUD Acc  (H),  AUD Dis  (Qter) (H) , EUR Acc  (H), EUR Dis  (Qter) (H) , GBP Acc  (H), GBP Dis  (Qter) (H) ",No,No,3,75%,Yes,Restricted,SFC Unauthorized,TBC,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,,
"BOS International (""BOSI Fund"") - Balanced
(May only be offered to clients who are resident in Singapore, Hong Kong and United Arab Emirates. No further subscription from existing BOSI investors or new investors who are not resident in Singapore, Hong Kong and United Arab Emirates. 
No marketing activities from Luxembourg and no marketing to EEA Resident clients and no further subscription from existing BOSI investors or new investors who are EEA Resident clients.)",http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing Materials/Forms/AllItems.aspx,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/BOS%20International%20Fund,No,USD,10/9/19,-0.57,0,10.82,8.45,N/A,N/A,N/A,8/31/2018,LU1832433228,BOIBRCU LX EQUITY,"USD Acc , USD Dis  (Qter) , SGD Acc  (H) , SGD Dis  (Qter) (H) , AUD Acc  (H),  AUD Dis  (Qter) (H) , EUR Acc  (H), EUR Dis  (Qter) (H) , GBP Acc  (H), GBP Dis  (Qter) (H) ",No,No,3,70%,Yes,Restricted,SFC Unauthorized,TBC,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,,
"BOS International (""BOSI Fund"") - Growth
(May only be offered to clients who are resident in Singapore, Hong Kong and United Arab Emirates. No further subscription from existing BOSI investors or new investors who are not resident in Singapore, Hong Kong and United Arab Emirates. 
No marketing activities from Luxembourg and no marketing to EEA Resident clients and no further subscription from existing BOSI investors or new investors who are EEA Resident clients.)",http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing Materials/Forms/AllItems.aspx,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/BOS%20International%20Fund,No,USD,10/9/19,-1.16,-1.09,10.52,6.56,N/A,N/A,N/A,8/31/2018,LU1832434622,BOIGRCU LX EQUITY,"USD Acc , SGD Acc  (H) , AUD Acc  (H),  EUR Acc  (H), GBP Acc  (H)",No,No,3,70%,Yes,Restricted,SFC Unauthorized,TBC,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,,
JPM Global Income A Acc EUR,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0740858229,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/JP%20Morgan/JPM%20Global%20Income%20Fund,No,EUR,10/10/19,-0.35,-0.18,8.52,4.67,2.61,2.94,4.48,3/1/12,LU0740858229,JPGIAEA LX Equity,"EUR Dis  (Qter) , EUR Dis (Ann) , EUR Dis  (Mth) , EUR Acc , USD Dis  (Qter) (H) , USD Dis  (Qter) (H) , USD Dis  (Mth) (H) , USD Acc  (H) , SGD Dis  (Qter) (H) , SGD Dis  (Qter) , SGD Dis  (Mth) (H) , SGD Acc  (H) , CHF Dis  (Qter) (H) , CHF Acc  (H) , AUD Dis  (Mth) (H) , AUD Acc  (H) , CNH Dis  (Mth) (H) , GBP Dis  (Mth) (H) , GBP Dis (Ann)(H) , CAD Dis  (Mth) (H)",No,No,3,70%,Yes,"Retail
(Recognized)",SFC Unauthorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,, 
JPM Global Macro Opportunities A Acc EUR,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0095938881,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/JP%20Morgan/JPM%20Global%20Macro%20Opportunities%20Fund,No,EUR,10/10/19,-1.08,-1.86,1.61,2.23,2.99,5.06,7.18,10/23/1998,LU0095938881,JPMECAA LX Equity,"EUR Acc , EUR Dis (Ann) , USD Acc  (H) , SGD� Acc  (H) , AUD Acc  (H)",Yes,No,4,60%,Yes,"Retail
(Recognized)",SFC Unauthorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,Yes,Daily Liquidity, 
Nordea 1 - Alpha 10 MA Fund EUR,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0445386369,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Nordea/Alpha%2010%20MA%20Fund,No,EUR,10/10/19,-0.49,0.74,6.41,5.5,1.25,3.84,5.75,9/30/2009,LU0445386369,NORMABP LX EQUITY,"EUR Acc , EUR Dis  (Mth) , EUR Dis (Ann) , USD Acc  (H) , USD Dis  (Mth) (H) , SEK Acc  (H) , NOK Acc  (H) , SGD Dis  (Mth) (H)",Yes,No,5,60%,Yes,Restricted,SFC Unauthorized,Authorized,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,Yes,, 
